date,category,product,revenue,expenses,profit,units_sold,region
2024-01-01,Electronics,Laptop,15000,12000,3000,50,North
2024-01-02,Electronics,Smartphone,8000,6000,2000,100,North
2024-01-03,Clothing,T-Shirt,500,300,200,200,South
2024-01-04,Clothing,Jeans,1200,800,400,150,South
2024-01-05,Electronics,Tablet,6000,4500,1500,75,East
2024-01-06,Electronics,Headphones,1500,1000,500,120,East
2024-01-07,Clothing,Dress,800,500,300,80,West
2024-01-08,Clothing,Shoes,2000,1500,500,60,West
2024-01-09,Electronics,Monitor,3000,2200,800,40,North
2024-01-10,Electronics,Keyboard,800,500,300,90,North
2024-01-11,Clothing,Jacket,1500,1000,500,45,South
2024-01-12,Clothing,Sweater,700,450,250,70,South
2024-01-13,Electronics,Mouse,400,250,150,130,East
2024-01-14,Electronics,Webcam,600,400,200,85,East
2024-01-15,Clothing,Scarf,300,200,100,110,West
2024-01-16,Clothing,Gloves,250,150,100,95,West
2024-01-17,Electronics,Speaker,1200,800,400,55,North
2024-01-18,Electronics,Charger,300,200,100,140,North
2024-01-19,Clothing,Belt,200,120,80,125,South
2024-01-20,Clothing,Wallet,350,220,130,75,South
